cod.mun,departamento_y_municipio,t_2001,h_01,m_01,t_2012,h_12,m_12,tmn_2001_2012(%),tac_ 2001_2012(%),ind_mas,urbana,rural,pob_insrc_%,pob_ci_%,t_taf>15,h_>15,m_>15,t_ae(6_19),h_ae(6_19),m_ae(6_19),nin_(ni>19),prim_(ni>19),se_(ni>19),sup_(ni>19),ins_(ni>19),otro_(ni>19),t_aest,h_aest,m_aest,est_sal_ultpar,dom_ultpar,otro_ultpar,sinesp_ultpar
010101,Sucre,214913,102930,111983,261201,124667,136534,0.2390673802,1.7398296861,91.3083920489,91.4230803098,8.5769196902,99.2732507918,79.89287943,94.7983706948,97.3453867126,92.5757812908,90.9155723786,90.6823356976,91.1444421615,7.7060228246,20.5408119259,29.3951428627,39.628859609,2.0558834699,0.6732793079,10.487524317,11.0327666325,"10,0","83,0","15,4","1,5","0,0"
010102,Yotala,9497,4663,4834,9461,4704,4757,-1.7712361232,-0.0338755106,98.885852428,0,100,99.3327684813,83.6909417609,87.3397936855,93.36523126,81.5507201961,90.6067877957,90.8256880734,90.3666427031,19.4484760522,38.7336719884,25.290275762,15.0217706821,1.1429608128,0.3628447025,6.5036523009,7.3643617021,"5,7","67,3","31,3","1,3","0,0"
010103,Poroma,16966,8479,8487,17377,8714,8663,-6.8060347744,0.2135008816,100.5887106083,0,100,95.5159812054,61.2015883064,78.3935122611,85.7997298862,70.9758454106,79.4555821225,81.8345323741,76.9665035755,30.5327644678,51.8761623455,13.9043868286,3.3147358057,0.2953724975,0.0765780549,3.738844425,4.263053536,"3,2","27,7","69,5","2,8","0,1"
010201,Azurduy,11349,5573,5776,10652,5414,5238,-12.8138528139,-0.5653417502,103.360061092,0,100,95.8941778874,69.0668419076,75.4032258065,85.0015989767,65.6361861373,77.5885374426,77.5425916366,77.639046538,30.6934374419,46.4212678937,13.8501580219,8.4588213423,0.4275887711,0.1487265291,4.3469578201,5.0171513796,"3,7","34,9","63,5","1,6","0,0"
010202,Tarvita,15791,7869,7922,14261,7237,7024,-6.2560386473,-0.9090108149,103.0324601367,0,100,95.8303936786,64.7359932684,75.7033857892,85.3889943074,65.9156279962,83.1702934718,84.7942073171,81.3836477987,35.1504278222,43.8586806514,13.2624896495,7.1763731714,0.4692243997,0.0828043058,3.9502356529,4.707093185,"3,2","41,6","56,7","1,6","0,1"
010301,Zudañez,7423,3755,3668,11362,5795,5567,-3.282650287,3.7969946756,104.0955631399,36.6836824503,63.3163175497,98.3439603259,74.8811828903,86.7770700637,91.4557754949,81.9383259912,78.7896944278,79.1812865497,78.3783783784,19.9157466589,43.6955258571,21.9930273097,13.1609529343,0.9151656014,0.3195816386,5.9795171909,6.4502301496,"5,5","62,8","35,3","1,9","0,0"
010302,Presto,8892,4346,4546,12385,6305,6080,-3.1012122921,2.9553671491,103.7006578947,23.4800161486,76.5199838514,95.0789002766,68.0177634235,74.9936338172,79.3683138054,70.6211812627,77.2739187418,78.9314516129,75.4778809394,34.9662657671,37.7970079202,18.8031680845,7.7735406278,0.484012907,0.1760046935,4.5272780891,4.8049141504,"4,3","33,3","64,7","2,0","0,0"
010303,Mojocoya,7926,4023,3903,8068,3985,4083,-4.6430644225,0.1583864447,97.5998040656,0,100,97.6303317536,72.3351512147,85.0108760134,90.4148207813,79.797979798,84.9402092676,84.1223597961,85.8019953952,25.6997455471,43.1413370345,21.3277816331,9.2759657645,0.1850566736,0.3701133472,5.2590529248,5.8809751434,"4,7","42,3","54,9","2,9","0,0"
010304,Icla,8616,4295,4321,7774,3884,3890,-8.0854309687,-0.9172568837,99.8457583548,0,100,97.3826714801,78.1708258297,75.6112984823,83.8204150784,67.4779689467,80.6499261448,81.9915254237,79.1795665635,36.1975308642,40.1975308642,16.8641975309,6.3950617284,0.2716049383,0.0740740741,4.1092395343,4.779626828,"3,5","36,8","60,7","2,4","0,1"
010401,Padilla,12562,6372,6190,10383,5254,5129,-8.0022014309,-1.6992419401,102.4371222461,31.917557546,68.082442454,97.5880178954,76.4422613888,86.943275787,91.7517006803,81.9019316493,78.3801436969,74.8391248391,82.0291777188,18.0921052632,51.7105263158,17.1875,12.2532894737,0.5756578947,0.1809210526,5.5587458746,5.8686084142,"5,2","63,7","34,5","1,5","0,3"
010402,Tomina,9060,4574,4486,8494,4294,4200,-3.7655172414,-0.5753952251,102.2380952381,0,100,97.4252982166,70.5321403344,83.6390315481,89.325640101,77.7528928705,78.7476979742,78.1476121563,79.3698424606,26.45749417,47.933008268,17.1083315667,7.6107695569,0.741997032,0.1483994064,4.7654189707,5.2625157762,"4,3","57,0","41,6","1,3","0,0"
010403,Sopachuy,7241,3622,3619,7312,3674,3638,-6.9782228581,0.0870331317,100.9895547004,29.2943107221,70.7056892779,96.6010733453,75.6564551422,80.0610820244,85.9063313096,74.1439859526,79.5313881521,77.8829604131,81.2727272727,31.6417910448,41.0945273632,17.4378109453,8.9303482587,0.6218905473,0.2736318408,4.5894288577,5.0515,"4,1","52,6","45,1","2,3","0,0"
010404,Villa Alcalá,4034,2067,1967,4902,2490,2412,-0.9243896658,1.7382947548,103.2338308458,0,100,96.4380757421,81.619747042,89.1425226807,92.8406466513,85.3412462908,85.1664254703,83.2861189802,87.1301775148,16.3032539416,37.7054679638,25.2264340825,19.4901039919,0.9728279101,0.30191211,7.1828898619,7.5526666667,"6,8","63,9","34,7","1,4","0,1"
010405,El Villar,4585,2353,2232,4465,2311,2154,-6.0880195599,-0.2365557273,107.2887650882,0,100,98.7211128562,79.0593505039,83.5044716794,90.5362776025,75.7322175732,83.6838288615,82.0728291317,85.4135338346,24.8854961832,41.0687022901,23.5496183206,9.3511450382,0.7633587786,0.3816793893,5.4174980814,5.9600886918,"4,8","55,3","42,7","2,0","0,0"
010501,Monteagudo,26504,13823,12681,24303,12419,11884,-5.7364705882,-0.7732923911,104.5018512285,47.0847220508,52.9152779492,96.9959919012,77.1756573263,89.638076351,93.0311477397,86.0875079264,86.4550679206,83.7947675895,89.2713094918,16.4330840171,40.9483697625,26.4686660373,14.8500472006,1.0093675114,0.2904654709,6.6802979407,6.9768901569,"6,4","66,8","31,2","1,9","0,1"
